station name,station code
9Bp No3,9BP3
A Cabin,ACAB
Abada,ABB
Abhaipur,AHA
Abhanpur Jn,AVP
Abhayapuri Assam,AYU
Abjuganj,AJUG
Abohar,ABS
Abu Road,ABR
Abutara H,ABW
Achal Ganj,ACH
Achalda,ULD
Achalpur,ELP
Acharapakkam,ACK
Acharya Narendra Dev Nagar,ACND
Achchuntanvayal,ACV
Achegaon,ACG
Achhnera Jn,AH
Achirne,ACRN
Achuara H,ACU
Adalpahari,ALPD
Adapur,ADX
Adari Road,ADE
Adarki,AKI
Adarsh Nagar Delhi,ANDI
Adarshnagar,AHO
Adas Road,ADD
Adavali,ADVI
Adavali,TVD
Adderi H,AEX
Adesar,AAR
Adgaon Buzurg,ABZ
Adhartal,ADTL
Adhichchanur,ACN
Adhikari,ADQ
Adhinpur,AHZ
Adhyatmik Nagar H,AKNR
Adi Saptagram,ADST
Adichunchanagiri Halt,ACCI
Adihalli,ADHL
Adilabad,ADB
Adina,ADF
Adipur,AI
Adirampattinam,AMM
Aditpara,APQ
Adityapur,ADTP
Adiyakkamungalam,AYM
Adoni,AD
Adra Jn,ADRA
Adraj Moti,AJM
Adrash Manpur,AHMP
Adurupalli,ARPI
Aduturai,ADT
Advance Starter,ADSR
Agaram Sibbandi,AGM
Agarpara,AGP
Agartala,AGTL
Agas,AGAS
Agasod,AGD
Agastiyampalli,AGX
Agauthar H,AGTR
Aghwanpur,AWP
Aghwanpur Block Hut,AMBH
Agomoni,AGMN
Agori Khas,AGY
Agra Cantt,AGC
Agra City,AGA
Agra Fort,AF
Agradwip,AGAE
Agran Dhulgaon,AGDL
Agrer Halt,AERH
Agri Park,APAP
Agsauli,AUL
Agthori,AGT
Ahalyapur F,AHLR
Ahera,AHQ
Aherwadi H,AHD
Ahimanpur,AHM
Ahiran H,AHN
Ahirauli Halt,AHU
Ahiwara,AWZ
Ahju,AHJU
Ahmadnagar,ANG
Ahmadpur Jn,AMP
Ahmadpur Jn Ng,ADP
Ahmed Garh,AHH
Ahmedabad Jn,ADI
Ahmedabad Mg,ADIJ
Ahraura Road,ARW
Aigawan,AIG
Ailam H,AILM
Airoli,AIRL
Aishbagh,ASH
Aishbagh Mg,ASSH
Ait Jn,AIT
Aithal,ATMO
Aiyanapuram,AYN
Ajaibpur,AJR
Ajakollu,AJK
Ajanti,ANI
Ajara,AZA
Ajarka,AIA
Ajgain,AJ
Ajhai,AJH
Ajharail,AHL
Ajit,AJIT
Ajit Gill Matta H,AJTM
Ajit Kheri,AJKI
Ajit Kheri,AJKT
Ajitwal,AJL
Ajjampur,AJP
Ajmer Jn,AII
Ajni (Nagpur),AJNI
Ajnod,AJN
Ajwa,AJWA
Akaipur H,AKIP
Akalkot Road,AKOR
Akaltara,AKT
Akanapet,AKE
Akashi P H,AKZ
Akathumuri H,AMY
Akbar Ganj,AKJ
Akbarnagar,AKN
Akbarpur Jn,ABP
Akelahanspur Halt,ALNP
Akividu,AKVD
Akividu,AKVX
Akkampet,AKAT
Akkaraipatti,API
Akkihebbalu,AKK
Akkunti,AKY
Aklera,AKLA
Akluj O.A.,AKLJ
Akodia,AKD
Akola Jn,AK
Akolner,AKR
Akona,AKW
Akot,AKOT
Akra,AKRA
Akshaywat Rai Nagar,AYRN
Akshaywat Rainagar,AYRM
Akurdi,AKRD
Alachor,AEE
Alai,ALAI
Alai,ALI
Alakkudi,ALK
Alal,ALAL
Alal,ALL
Alam Nagar,AMG
Alamanda,ALM
Alambagh Lucknow,AMV
Alamganj,ALMG
Alampur,ALMR
Alampur Road,ALPR
Alanavar Jn,LWR
Alandi,ALN
Alapadu,AAU
Alapakam,ALP
Alattambadi,ATB
Alau,ALAU
Alawal Pur,AWL
Alawalpur Idrispur,AIH
Alehpur Halt,APRH
Aler,ALER
Alewahi,AWH
Algapur,ALGP
Aliganj,ALJ
Aligarh Jn,ALJN
Alinagar Tola,ATX
Alindra Road,AIR
Alipur Duar,APD
Alipur Duar Court,APDC
Alipur Duar Jn,APDJ
Alirajpur,ARPR
Aliyabad Road H,AYB
Aliyawada,ALB
Allahabad City,ALY
Allahabad Jn,ALD
Allahabd Chheoki,ACOI
Alleppey,ALLP
Alluru Road,AXR
Almatti,LMT
Almaw H,ALMW
Alniya,ALNI
Altagram,ATM
Aluabari Road,AUB
Alur,ALUR
Aluva (Alwaye),AWY
Alwal Halt,ALW
Alwar Jn,AWR
Alwar Tirunagari,AWT
Amagura,AGZ
Amala Nagar,AMLR
Amalner,AN
Amalpur,AMLP
Amalsad,AML
Aman Lodge,X108
Aman Lodge,AMAN
Aman Vadi,AMW
Amar Saheed Jagdeo Prasad H,ASJP
Amaravathi Colony,AVC
Amaraviia,AMVA
Amarda Road,ARD
Amargarh,AGR
Amargol,AGL
Amarpur Jorasi,APJ
Amarpura,APA
Amarpura Rathan,AMPR
Amarsar,AXA
Amarun,ARNB
Amausi,AMS
Amb  Andaura,AADR
Ambagaon,AGB
Ambajora Sikaripara,SKIP
Ambala Cant Jn,UMB
Ambala City,UBC
Ambalapuzha,AMPA
Ambale,ABLE
Ambalgram,ABGM
Ambapendarpur H,APP
Ambari,ABX
Ambari Falakata,ABFC
Ambari Richhavi,ABRV
Ambarnath,ABH
Ambasamudram,ASD
Ambassa,ABSA
Ambattur,ABU
Ambaturai,ABI
Ambav,AAV
Ambewadi,AVA
Ambiapur,AAP
Ambika Bhawani Halt,AABH
Ambika Kalna,ABKA
Ambika Rohina H,AMBR
Ambikapur,ABKP
Ambikeshwar,ABE
Ambivli,ABY
Ambli Road,ABD
Ambliyasan,UMN
Ambodala,AMB
Ambur,AB
Amdara,UDR
Amdi,AMDI
Amethi,AME
Amgaon,AGN
Amghata H,AHT
Amguri,AGI
Amhera H,ARH
Amila H,AMD
Amin,AMIN
Amin,AMN
Amjonga,AMGA
Amla Jn,AMLA
Amla Khurd H,AMX
Amlai,AAL
Amletha,ALE
Amli,AMLI
Amlo,AMLO
Amlori Sarsar,ALS
Ammanabrolu,ANB
Ammanur,AMNR
Ammapali,AMPL
Ammapet,AMT
Ammasandra,AMSA
Ammuguda,AMQ
Ammuguda Chord Line,AMQX
Amnapur,ANQ
AMNE,AMNE
Amod,AMOD
Amolwa,AMO
Amoni,AONI
Amravati,AMI
Amreli,AE
Amreli Para,AEP
Amritapura,AMC
Amritsar Jn,ASR
Amritvel,AVL
Amroha,AMRO
Amta,AMZ
Amta,AMTA
Anaimalai Road,ANM
Anajmandi Rewari,AMRI
Anakapalle,AKP
Anakhi,ANKI
Anakhol,AKL
Anand Jn,ANND
Anand Nagar,ANDN
Anand Vihar H,ANVR
Anand Vihar Terminal,ANVT
Anandapuram H,ANF
